"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES"
"Jan 01, 2000 12:00 AM","(#) Opening","1800.00","-","Cash","Opening balance"
"Jan 01, 2000 12:00 AM","(#) Opening","-5500.00","-","Credit","Opening balance"
"Jan 01, 2000 12:00 AM","(#) Opening","25000.00","-","Emergency","Opening balance"
"Jan 01, 2000 12:00 AM","(#) Opening","0.00","-","Metro","Opening balance"
"Jan 01, 2000 12:00 AM","(#) Opening","4200.00","-","Primary","Opening balance"
"Jan 01, 2000 12:00 AM","(#) Opening","85000.00","-","Savings","Opening balance"
"Aug 01, 2023 7:02 AM","(-) Expense","146.00","Sport","Primary","gym day pass"
"Aug 01, 2023 8:22 AM","(-) Expense","12.00","Food","Cash","cutting chai"
"Aug 01, 2023 8:48 AM","(-) Expense","43.00","Transportation","Metro","metro"
"Aug 01, 2023 9:17 AM","(+) Income","48000.00","Salary","Primary","monthly salary"
"Aug 01, 2023 9:38 AM","(*) Transfer","8779.50","-","Primary->Savings","monthly save"
"Aug 01, 2023 1:08 PM","(-) Expense","169.50","Food","Primary","thali"
"Aug 01, 2023 4:39 PM","(-) Expense","61.00","Food","Primary","dosa"
"Aug 01, 2023 7:12 PM","(-) Expense","48.00","Transportation","Metro","metro"
"Aug 01, 2023 9:00 PM","(-) Expense","116.00","Food","Primary","burger"
"Aug 02, 2023 8:23 AM","(-) Expense","11.00","Food","Primary","tea"
"Aug 02, 2023 8:48 AM","(-) Expense","22.00","Transportation","Primary","bus"
"Aug 02, 2023 10:02 AM","(-) Expense","9092.00","Home","Primary","rent share"
"Aug 02, 2023 1:03 PM","(-) Expense","98.00","Food","Primary","office cafeteria"
"Aug 02, 2023 7:12 PM","(-) Expense","28.00","Transportation","Primary","bus"
"Aug 03, 2023 8:07 AM","(*) Transfer","263.50","-","Primary->Metro","metro card top-up"
"Aug 03, 2023 8:52 AM","(-) Expense","49.00","Transportation","Metro","metro"
"Aug 03, 2023 1:05 PM","(-) Expense","64.50","Food","Primary","dosa"
"Aug 03, 2023 4:37 PM","(-) Expense","41.50","Food","Cash","poha"
"Aug 03, 2023 5:00 PM","(-) Expense","2023.00","Clothing","Primary","ethnic wear"
"Aug 03, 2023 7:11 PM","(-) Expense","51.00","Transportation","Metro","metro"
"Aug 03, 2023 9:01 PM","(-) Expense","86.00","Food","Primary","burger"
"Aug 04, 2023 8:22 AM","(-) Expense","33.00","Food","Cash","filter coffee"
